"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 18 06:32:14 GMT 2023","Sun Jun 18 06:32:15 GMT 2023","1025","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Sun Jun 18 06:32:22 GMT 2023","Sun Jun 18 06:32:23 GMT 2023","1098","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Sun Jun 18 06:33:35 GMT 2023","Sun Jun 18 06:33:37 GMT 2023","1346","tests","test_links","TestLinks","","","test_forbidden_link","Test to validate forbidden link on the page and verify response

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Sun Jun 18 06:32:46 GMT 2023","Sun Jun 18 06:32:53 GMT 2023","6264","tests","test_dynamic_elements","TestDynamicElements","","","test_changing_color_button","Test to verify the functionality of the button that changes inner text color. The inner text of the button
        should switch from back to red in 5 seconds

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Sun Jun 18 06:33:20 GMT 2023","Sun Jun 18 06:33:21 GMT 2023","1108","tests","test_links","TestLinks","","","test_moved_link","Test to validate moved link on the page and verify response

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Sun Jun 18 06:33:41 GMT 2023","Sun Jun 18 06:33:42 GMT 2023","806","tests","test_links","TestLinks","","","test_not_found_link","Test to validate not found link on the page and verify response

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Sun Jun 18 06:33:58 GMT 2023","Sun Jun 18 06:33:58 GMT 2023","354","tests","test_upload_download","TestUploadDownload","","","test_upload_file","Test to verify the uploading a file

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Sun Jun 18 06:33:24 GMT 2023","Sun Jun 18 06:33:25 GMT 2023","1260","tests","test_links","TestLinks","","","test_bad_request_link","Test to validate bad request link on the page and verify response

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Sun Jun 18 06:33:11 GMT 2023","Sun Jun 18 06:33:12 GMT 2023","741","tests","test_links","TestLinks","","","test_created_link","Test to validate created link on the page and verify response

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Sun Jun 18 06:33:49 GMT 2023","Sun Jun 18 06:33:49 GMT 2023","329","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
